No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
1     116 138   6.620587 110   7.44242
2     364 295  19.685496 254  21.76614
3     540 100   4.530463 102   6.87212
4     572 152   7.691807 137   9.43518
5     628 288  19.153736 272  23.67590
6     660  99   4.516727  89   5.42047
7     676  24   0.327408  17   0.40763
8     756 794 90.620330 792 90.71047
9     988 673  68.614164 623  73.42256
10   2264  90   3.821919 144  10.78916
11   2288 335  24.106081 527  59.67904
12   2720 570  52.846453 582  66.45078
13   2752 774  86.032720 756  87.73687
14   2832 224  13.367653 213  17.32989
15   2928  56   1.830919  53   2.66838
16   3120 249  15.516734 203  16.79627
17   3264 320  21.959936 269  23.38046
18   3272 441  36.616716 409  41.91596
19   3296 307  20.922578 287  25.98536
20   3320 600  56.046067 578  65.43176
21   3384 440  36.546374 423  43.88682
22   3392 200  11.629399 564  64.01267
23   3480  13   0.064005  15   0.37927
24   3488 558  51.747333 654  78.70173
25   3576 615  59.774946 548  62.17816
26   3608 112   5.215447  92   5.90185
27   3632 701  74.402583 735  84.48942
28   3640 252  15.705096 215  17.58925
29   3656 539  48.637308 509  57.18137
30   3688 616  59.776525 712  90.37824
31   3736 233  14.456564 286  25.76366
32   3928 120   5.517879  94   6.24051
33   4032 227  13.930842 185  14.76681
34   4432 306  20.786479 275  23.84480
35   4599 365  28.039372 341  32.54628
36   4688 226  13.714605 251  21.53461
37   4816  77   3.245939  63   3.57541
38   4848 292  19.368064 243  20.27125
39   4896 421  34.520513 366  35.37400
40   4944 691  72.289999 718  90.71220
41   4984 776  86.425545 761  88.20559
42   5216 161   8.588396 135   9.24107
43   5256 256  15.782758 238  19.70395
44   5288 464  38.731514 415  42.73112
45   5312 119   5.497890  95   6.58103
46   5384 730  83.881631 724  91.42868
47   5504 228  14.063454 218  17.95615
48   5648 682  70.417181 677  82.86662
49   5672 348  25.537539 314  29.85279
50   5680 749  88.742041 701  88.79657
51   5848 737  85.513391 725  91.73822
52   5888 560  51.846683 588  67.12515
53   5936 248  15.277587 228  18.57448
54   6064  29   0.461999  20   0.56741
55   6240 140   6.774133 131   8.91964
56   6344 724  82.490335 706  89.26121
57   6504 387  29.425494 371  36.84230
58   6560 420  34.361244 652  78.64077
59   6824 580  53.977452 526  59.37361
60   6904 327  22.826368 551  62.29727
61   6928 461  38.612273 400  41.07157
62   7000 434  35.837938 461  49.08401
63   7040 123   5.707662 112   7.64060
64   7160 559  51.820509 496  55.27512
65   7480 742  86.663630 773  89.07042
66   7712 215  12.877964 230  18.63673
67   7880 579  53.972531 561  63.28111
68   7960  76   3.238820  61   3.50799
69   7976 454  38.094545 394  40.24691
70   7992 651  64.408697 609  71.25625
71   8472 736  85.477909 704  89.03866
72   8568 489  41.680554 479  51.73737
73   8624 492  41.936354 450  47.62866
74   8632 697  73.846800 669  81.67769
75   8744 117   5.468890 107   7.19070
76   8760   3   0.006486  82   4.54724
77   8960 723  81.895998 702  88.84874
78   9080 107   4.881819  90   5.88726
79   9224 345  25.310065 322  30.54843
80   9432 439  36.505743 397  40.66322
81   9528 342  24.867319 327  30.77456
82   9696 195  11.066160 156  11.88080
83  10224 596  55.381868 518  58.49245
84  10240 613  59.486766 635  75.15415
85  10256 589  55.046304 615  72.00337
86  10280 692  72.600336 663  80.08330
87  10768 273  17.987314 245  20.61748
88  10792  52   1.629988 222  18.04810
89  10800 601  56.188928 566  64.19478
90  10808  91   3.918963  73   4.03819
91  10912 460  38.528664 449  47.56135
92  11000  42   1.125638  35   1.53789
93  11152 383  29.177301 360  34.78589
94  11160 635  62.110530 575  65.24761
95  11272 370  28.323433 369  36.68952
96  11328 201  11.679888 195  15.63460
97  11336 412  33.394843 407  41.73372
98  11472 265  16.933537 239  19.70667
99  11616 656  65.825492 596  69.07885
100 11624 568  52.776541 574  65.23374
101 11680 130   6.289122 103   6.89011
102 11720 505  43.412647 552  62.34563
103 11736 611  59.157888 619  72.84181
104 12104 586  54.671212 664  80.08858
105 12184 493  42.099947 460  49.00866
106 12224 217  13.028451 190  15.33693
107 12296 395  30.610261 378  38.11126
108 12496  60   2.112247  48   2.41245
109 12504 352  25.823964 338  31.98187
110 12536 472  40.322859 472  50.57921
111 12656 126   6.027085 100   6.72774
112 12704 510  44.115128 470  50.52687
113 13120 689  71.984413 634  75.11329
114 13152 203  11.943311 206  16.95744
115 13232  85   3.618101  84   4.65398
116 13240 541  48.988898 482  52.27978
117 13392 543  49.428928 481  52.20373
118 13440 253  15.712167 226  18.46265
119 13512 407  32.529842 393  40.22839
120 13608  66   2.467510  54   2.67473
121 13776 270  17.807827 430  44.74625
122 13800  39   0.999436  32   1.21301
123 13832 194  10.940568 208  17.02598
124 13896 787  88.809611 779  89.56366
125 14064 716  79.592743 705  89.24171
126 14160 358  26.912136 524  59.12300
127 14264 142   6.834805 116   7.82695
