No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099 
1    820           36  2.928           50  7.276
2   2000           27  1.500           28  2.594
3   2184           17  0.762           17  0.961
4   3088           54 33.126           54 41.273
5   4792           42  3.172           43  4.448
6   6088           29  2.049           36  3.694
7   8040           16  0.756           15  0.952
8  10464           18  0.838           18  1.127
9  11232            3  0.339            1  0.424
10 13208           52  7.629           53 11.437
11 13704           46  3.544           39  4.102
12 14712            8  0.472            7  0.740
13 15776           24  1.246           24  1.873
14 16296            5  0.434            9  0.746
15 20136            4  0.375            5  0.584
16 20432           28  1.991           27  2.311
17 21648           26  1.486           25  1.987
18 24000           50  4.916           49  6.629
19 25360           32  2.679           29  2.955
20 27456           44  3.390           37  3.849
21 31200           25  1.323           26  2.156
22 32800           30  2.161           33  3.553
23 33408           53  7.878           52  9.156
24 34064           19  0.897           19  1.249
25 37784            1  0.335            2  0.445
26 38288           20  0.979           20  1.296
27 41216           37  2.967           46  5.498
28 42168           12  0.615           11  0.788
29 44128           55 45.736           55 52.175
30 44864           15  0.708           16  0.961
31 46256           41  3.110           35  3.682
32 48360            9  0.546           10  0.757
33 50344           56 54.222           56 61.564
34 50408           35  2.891           34  3.643
35 52584           39  3.063           41  4.311
36 53368           22  1.103           21  1.358
37 53736           34  2.807           30  3.324
38 56456           43  3.340           42  4.364
39 57976           38  3.026           40  4.149
40 60000           51  5.346           51  8.798
41 61000           47  3.585           44  4.802
42 61048           49  4.191           47  5.667
43 62432           10  0.566           13  0.817
44 63624           33  2.711           45  5.215
45 67344            2  0.336            3  0.445
46 69000           23  1.117           23  1.475
47 69600            7  0.471            4  0.565
48 69720           13  0.627           12  0.789
49 75304           45  3.418           38  3.922
50 76904           11  0.597            8  0.742
51 78528           14  0.676           14  0.883
52 81000           21  1.082           22  1.421
53 81328            6  0.457            6  0.664
54 85152           31  2.474           31  3.324
55 85312           40  3.063           32  3.328
56 87048           48  4.007           48  6.451
