No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
1     116 139  6.0675 114   6.6351
2     364 241 13.0258 215  14.3968
3     540 116  5.3177 126   7.2882
4     572 288 16.3301 249  18.1711
5     628 383 22.7475 364  27.1978
6     660 306 17.3788 254  18.4363
7     676  35  0.9984  30   1.1885
8     756 807 89.7306 808 90.0000
9     988 279 15.8984 255  18.4676
10   2264  90  4.0580 175  10.8286
11   2288 337 19.1397 555  46.9664
12   2720 631 48.4341 643  60.9767
13   2752 790 87.4540 770  88.7604
14   2832 148  6.6793 138   8.1580
15   2928  64  2.6566  65   3.7075
16   3120 297 17.0819 250  18.2056
17   3264 208 10.5296 184  11.4010
18   3272 531 36.5948 509  41.7835
19   3296 505 34.1615 480  38.4819
20   3320 646 50.0180 631  58.1931
21   3384 619 47.0819 608  53.4478
22   3392 630 48.1844 747  81.4210
23   3480  14  0.2029   9   0.2827
24   3488 548 38.0330 589  50.7823
25   3576 152  6.9933 128   7.3360
26   3608  94  4.3389  84   4.8916
27   3632 754 72.6614 784  92.4811
28   3640 376 21.8053 328  23.8939
29   3656 641 49.3952 624  57.1700
30   3688 526 35.9971 599  52.3444
31   3736 189  9.0182 221  15.4606
32   3928 100  4.6732  94   5.3621
33   4032 206 10.4734 180  11.1883
34   4136  24  0.5384  18   0.7454
35   4432 305 17.3134 273  19.6399
36   4599 256 14.4837 229  16.2862
37   4688 224 11.5101 244  17.9362
38   4816 102  4.9116 102   5.9482
39   4848 346 19.7697 284  20.6486
40   4896 397 24.1376 343  25.1922
41   4944 718 62.0716 731  77.6265
42   4984 798 93.9846 799  98.7298
43   5216  97  4.6496  86   5.0755
44   5256 262 14.7441 246  18.0642
45   5288 461 29.1588 419  32.6636
46   5312 107  5.1186 105   6.2036
47   5384 786 84.0556 776  90.9184
48   5504 229 11.9002 217  15.1142
49   5648 725 65.0260 698  70.3169
50   5672 209 10.5659 193  12.0353
51   5680 781 82.3146 752  82.3708
52   5848 759 75.4134 758  84.2354
53   5888 685 54.8053 692  69.3732
54   5936 231 12.2800 212  14.2437
55   6064  23  0.4854  15   0.5993
56   6240 135  5.8923 125   7.2862
57   6344 709 59.0809 673  64.7518
58   6504 482 31.0948 470  37.4839
59   6560 593 42.3889 727  76.3565
60   6824 522 35.7696 540  45.5481
61   6904 467 29.7460 612  54.3503
62   6928 365 21.0670 310  22.3605
63   7000 441 27.7378 459  36.3527
64   7040 162  7.3051 152   9.2497
65   7120   5  0.0322   4   0.1015
66   7160 325 18.4728 276  19.8398
